link,category,class,subclass,text
https://www.youtube.com/@XiaoBeiOfficial/videos,游戏综合,,,"小贝的游戏食堂
吃鸡类 好玩活动"
https://space.bilibili.com/28266043/upload/video,游戏综合,,,"附魔星
游戏资讯"
https://space.bilibili.com/2075535/upload/video,游戏综合,mod,,"岛主
泰拉瑞亚mod制作者"
https://space.bilibili.com/3493264516712760/upload/video,游戏实况,格斗,,"黑神话 高手
5min"
https://space.bilibili.com/286508081/upload/video,游戏综合,整活,,黑神话mod
https://www.youtube.com/@fairTX/videos,游戏实况,第三人称射击,,"第三人称射击
制作精良 画质"
https://space.bilibili.com/39846961/upload/video,新游试玩,,,"新游试玩 45min
土豆兄弟实况+新东西"
https://space.bilibili.com/43565879/upload/video,游戏实况,泰拉瑞亚,,"克总来了
mod 开荒"
https://www.youtube.com/@C-gb9sc/videos,游戏实况,完整,,scum 人渣
https://space.bilibili.com/433523663/upload/video,新游试玩,杂,,"你的隔壁老盲 
40min-1hr"
https://space.bilibili.com/2728123/upload/video,新游试玩,,,"抽风Crazy
搞笑抽象 40min"
https://space.bilibili.com/343691960,新游试玩,,,"威尔森林
肉鸽 新游戏排行 半年更"
https://www.youtube.com/@%E7%8B%AC%E7%AB%8B%E6%B8%B8%E6%88%8F%E8%9C%A5%E8%9C%B4%E5%90%9B/videos,新游试玩,杂,,"独立游戏蜥蜴君
15min"
https://www.youtube.com/playlist?list=PLk-60n42fPJ2s6YXTSjrdbGkUaDkwsAQz,影视,长剧情游戏,文艺,极乐迪斯科
https://www.youtube.com/@yuge/videos,影视,电影,解说,"宇哥侃故事
15min 杂"
https://space.bilibili.com/1674399649/lists/486483?type=season,影视,短视频,,"有声小说
无限流 假如系列"
https://space.bilibili.com/3380239/upload/video,影视,格斗,,"神奇的老皮 武打片
特效赞 要素多"
https://www.youtube.com/@zimautanimation/videos,影视,格斗,,"手绘格斗
漫威类"
https://www.youtube.com/@FabianoCruzAnimations/videos,影视,格斗,,"可爱火柴人画风
"
https://www.zhihu.com/people/askua2004-33/answers/by_votes,scp/怪谈,,,知乎文章
https://www.youtube.com/@ting4877/videos,scp/怪谈,,,"scp介绍
3-10min"
https://www.youtube.com/@Lento2138/videos,影视,格斗,,纤细火柴人
https://space.bilibili.com/81824112,影视,自制,,"导演小策
15min"
https://www.youtube.com/@KeyAndPeele/videos,影视,,,"基和皮尔
15min"
https://space.bilibili.com/168598/upload/video,游戏实况,杂,,"逍遥散人
高智商高情商"
https://space.bilibili.com/280793434/upload/video,有益,工科,,手工耿
https://space.bilibili.com/488034462/upload/video,有益,工科,,"电器维修
实例"
https://space.bilibili.com/482899354,有益,文科,哲学,"深刻 清醒
好看小姐姐"
https://space.bilibili.com/499391331/upload/video,影视,短视频,,"经典翻拍
好看小姐姐"
https://www.youtube.com/@%E9%96%92%E5%A8%9B%E8%A8%98/videos,悠闲轻松,,,"娱乐圈
有趣"
https://www.youtube.com/@Ychinamedia/videos,悠闲轻松,综艺,,"外国人在中国
有趣"
https://www.youtube.com/@eric10000/videos,有益,,,eric 长安万年
https://space.bilibili.com/346687210/lists/2619621?type=series,有益,文科,哲学,"项飙 合集
1-2hr"
https://www.youtube.com/playlist?list=PLWAcybLfPvlLPMHdn2rukaX-FyJDZjlF-,有益,访谈,,"十三邀
我已经精选了"
          https://space.bilibili.com/9463690,新游试玩,,,"苏安安 女生
种田类"
https://space.bilibili.com/475429757,有益,摄影,,摄影技巧
https://www.youtube.com/@makuri0731/videos,音乐区,米米米,,真栗
https://space.bilibili.com/3546390804301889/upload/video,hehe,技巧,,"推拉
泡学"
https://www.youtube.com/@xiuxiuman/videos,音乐区,米米米,,"咻咻满
黑长直 唱歌"
https://www.youtube.com/@LiLMoengen/videos,悠闲轻松,微恐,,三更研究所!
https://space.bilibili.com/216025/lists/2011685?type=season,悠闲轻松,微恐,,海龟汤 11个
https://www.bilibili.com/video/BV1dPxazcEZD/?vd_source=15173c99aced81f348af55708bc963e3,悠闲轻松,微恐,,"许二木 海龟汤
s1 s2 s3 全收录"
https://www.youtube.com/@spookshow17/videos,悠闲轻松,欢乐,,鬼屋
https://www.bilibili.com/video/BV1GEd6YEELt/?vd_source=15173c99aced81f348af55708bc963e3,悠闲轻松,欢乐,,"全国青少年中式
台球挑战赛"
https://space.bilibili.com/546189/upload/video,有益,文科,,外交会议解说
https://www.youtube.com/@StokesTwins/videos,悠闲轻松,欢乐,,Stokes Twins
https://www.youtube.com/@SoKrispyMedia/videos,影视,短视频,,cg 特效
https://www.youtube.com/@FameFocus/videos,悠闲轻松,,,电影特效解说
https://www.youtube.com/@SerpaDesign/videos,悠闲轻松,,,"生态箱 大箱子
专业"
https://www.youtube.com/@AntsCanada/videos,悠闲轻松,,,"生态箱 
蚂蚁 专业"
https://www.youtube.com/@MaxMarble/videos,悠闲轻松,电子榨菜,对战类,"小人 vs 僵尸
人物是圆球"
https://space.bilibili.com/617693524,悠闲轻松,电子榨菜,对战类,"深黑色齿轮
制作精致 火柴人战争"
https://space.bilibili.com/3546742681241635,悠闲轻松,电子榨菜,对战类,Z-Arcade
https://space.bilibili.com/481393564/upload/video,悠闲轻松,抽象,,演讲
https://space.bilibili.com/524359386/lists/3689471?type=season,悠闲轻松,AI,,"山海经
神话纪录片"
https://space.bilibili.com/371846699/upload/video,悠闲轻松,抽象,,"图灵的猫
ai 整活"
https://www.youtube.com/@PrimerBlobs/videos,悠闲轻松,AI,训练,"Primer
可爱史莱姆"
https://www.youtube.com/@aiwarehousehttps://www.youtube.com/@aiwarehouse/videos,悠闲轻松,AI,训练,"AI Warehouse
橘色方块"
https://www.youtube.com/@npcragdolls/videos,悠闲轻松,AI,,格斗厮杀
https://www.youtube.com/@b2stud/videos,悠闲轻松,AI,,"b2studios
3d"
https://www.youtube.com/playlist?list=PLgH3pEzY-BDgEUrwyG51ZJm4X6hKAmcsc,影视,长剧情游戏,画质,燕云十六声
https://www.youtube.com/@MB93/videos,游戏实况,第三人称射击,,狙击精英
https://www.youtube.com/@%E5%BC%95%E9%A0%98%E7%A4%BE%E4%BA%A4KYOKOY/videos,hehe,技巧,,实战!
https://www.youtube.com/@%E7%8E%8B%E7%AB%B9%E5%AD%90/videos,hehe,科普,,sm 王竹子
https://space.bilibili.com/35462590/lists/619483?type=season,悠闲轻松,电子榨菜,电子斗蛐蛐,"泰拉瑞亚 
怪兽"
https://space.bilibili.com/3546692095838209/upload/video,悠闲轻松,电子榨菜,电子斗蛐蛐,"国王保卫战 兵种对战
造梦西游 "
https://www.youtube.com/@EldenRingFights/videos,悠闲轻松,电子榨菜,电子斗蛐蛐,"艾尔登法环
"
https://space.bilibili.com/1802064468/upload/video,游戏综合,,,"诡异的妖刀
泰拉瑞亚 杂"
https://space.bilibili.com/97094027/upload/video,游戏综合,整活,,"乔治的新恐龙
泰拉瑞亚+元气骑士"
https://space.bilibili.com/25334643/upload/video,悠闲轻松,欢乐,,"咸鱼超闲余
造桥 杂"
https://space.bilibili.com/150112256/lists/4591936?type=season,游戏实况,完整,单独合集,"幻兽帕鲁
全随机 搞笑"
https://space.bilibili.com/3546556791786051/upload/video,游戏实况,,,"父女一起玩
10min以内"
https://space.bilibili.com/34409595/lists/1415378?type=season,悠闲轻松,AI,,"创世纪
模拟"
https://space.bilibili.com/98666360,漫画/小说,,,"汉森白 手绘黑白漫画
内容是书 / 深刻"
https://space.bilibili.com/1795991448/upload/video,游戏实况,,,"墨鱼丸
推理解谜专精的老侦探"
https://www.bilibili.com/video/BV1tY411G7Ur?vd_source=15173c99aced81f348af55708bc963e3,悠闲轻松,推理,,"变种象棋
5min"
https://www.youtube.com/@linksphotograph/videos,悠闲轻松,画质,,"探索世界的
摄影up"
https://space.bilibili.com/297670584,悠闲轻松,微恐,,"案件解说
详细"
https://space.bilibili.com/492303353/upload/video,悠闲轻松,,,"王左导演
城市摄影 5min"
https://www.youtube.com/@huangyejieshuo/videos,悠闲轻松,电子榨菜,,"荒野求生类 
大合集"
https://www.youtube.com/@LanRiXi/videos,有益,摄影,,"蓝日西
摄影点评"
https://space.bilibili.com/488034462/upload/video,悠闲轻松,,,"电器维修
实例"
https://www.youtube.com/@BjornTheBear/videos,悠闲轻松,电子榨菜,电子斗蛐蛐,"艾尔登法环 2
"
https://www.youtube.com/@familyfeud/videos,悠闲轻松,欢乐,,"Family Feud+黑人主持人
家庭问答综艺 "
https://www.youtube.com/@WeisWay/videos,有益,文科,心理学,"維思維WeisWay
弓箭手大作战画风"
https://space.bilibili.com/570064/upload/video,有益,文科,社会学,章北海
https://space.bilibili.com/3546619314178489/upload/video,游戏实况,,,"植物大战僵尸
融合版"
https://space.bilibili.com/357229416,漫画/小说,互动小说,,"打泥泥
"
https://www.youtube.com/@badboycorner/videos,新游试玩,恐怖猎奇,,坏小孩角落
https://www.youtube.com/watch?v=_fSXAyi-I40&list=PLQJ7Rx11kXONWvRdmoLGUhxgJSkVvTuLK&index=22&t=1s,游戏实况,完整,单独合集,"紫色晶石
像素平面"
https://space.bilibili.com/506603445/upload/video,新游试玩,,,"宝可梦
5min"
https://space.bilibili.com/2671708/lists/3384444?type=season,新游试玩,,,"以撒 mod试玩
45min"
https://space.bilibili.com/23463156/upload/video,新游试玩,,,"在下夜骑
以撒 mod试玩"
https://www.youtube.com/@BATTLESEVERYDAY/videos,悠闲轻松,电子榨菜,电子斗蛐蛐,tabs
https://space.bilibili.com/421795065,新游试玩,,,"悟克拉
以撒mod 最新 5min"
https://space.bilibili.com/162941802/lists/981900?type=season,游戏实况,以撒,,"章鱼部长
玩mod 人物"
